"apgroup_num","apgroup_name","apmean_bno2","apmean_bpm25"
275,"E01030975",8.644,8.603
276,"E01030972",10.623,9.262
277,"E01009911",11.105,8.938
278,"E01021077",7.037,8.658
279,"E01033497",10.915,9.339
280,"E01028046",12.521,8.804
281,"E01002288",12.698,10.01
282,"E01011880",14.877,8.532
283,"E01002209",16.24,10.812
284,"E01011262",9.269,7.955
285,"E01000870",29.895,13.706
286,"E01008028",11.859,8.639
287,"E01018499",7.508,7.868
288,"E01016077",10.044,9.901
289,"E01012013",20.927,9.256
290,"E01027177",10.35,9.195
291,"E01033193",8.002,9.051
292,"E01033115",5.245,9.176
293,"E01033194",8.116,8.84
294,"E01030027",13.494,10.834
295,"E01030024",14.682,10.513
296,"E01027175",10.091,9.293
297,"W01001191",8.302,6.618
298,"E01033191",7.781,8.891
299,"W01001111",3.204,6.103
300,"W01001192",9.273,6.988
301,"W01001110",2.676,5.819
302,"W01001193",6.471,6.724
303,"W01001113",5.958,6.19
304,"W01001194",5.454,6.573
305,"W01001112",3.364,6.163
306,"W01001190",6.106,6.234
307,"W01001118",5.099,6.218
308,"E01010326",8.912,8.284
309,"E01000323",22.878,12.07
310,"E01016379",16.52,9.979
311,"E01000946",39.578,14.821
312,"E01004932",18.162,9.361
313,"E01023428",8.169,8.821
314,"E01015426",10.018,10.861
315,"E01012939",4.002,7.881
316,"E01013423",13.484,9.009
317,"E01025421",12.784,10.46
318,"E01029499",10.302,8.354
319,"E01000945",35.877,14.377
320,"E01029418",8.891,8.645
321,"E01014939",8.16,8.381
322,"E01005888",16.438,9.192
323,"E01005809",10.507,7.838
324,"E01005808",12.008,8.119
325,"E01018733",10.325,7.774
326,"E01018732",8.653,7.813
327,"E01005889",16.013,9.338
328,"E01032809",6.642,8.358
329,"E01018734",13.986,8.307
330,"E01026868",9.91,9.436
331,"E01018735",8.635,7.397
332,"E01032808",13.653,10.509
333,"E01032888",12.067,8.707
334,"E01003686",21.547,12.959
335,"E01015184",6.318,6.503
336,"E01017165",16.696,9.426
337,"E01000229",24.184,12.089
338,"E01015105",14.172,8.569
339,"E01023181",6.434,8.817
340,"E01026629",3.951,8.105
341,"E01009166",10.888,8.447
342,"E01025106",11.414,6.802
343,"E01013101",7.453,9.178
344,"E01005631",27.053,10.068
345,"E01025187",9.695,7.446
346,"E01021644",6.382,9.173
347,"E01007163",9.941,7.263
348,"E01005630",21.543,9.433
349,"E01023182",10.894,9.092
350,"E01021645",5.972,9.087
351,"E01015185",7.615,6.659
352,"E01021646",15.605,10.476
353,"E01005633",20.361,9.368
354,"E01023103",13.216,9.331
355,"E01013669",8.361,8.795
356,"E01005632",26.599,10.054
357,"E01021647",12.176,10.133
358,"E01021608",7.78,9.038
359,"E01014479",7.454,7.805
360,"E01026422",5.54,8.963
361,"E01031153",7.623,8.316
362,"E01005932",11.028,7.881
363,"E01013938",15.12,9.841
364,"E01031150",7.394,8.333
365,"E01003746",21.557,11.58
366,"E01031155",10.511,8.827
367,"E01003747",20.871,11.511
368,"E01006809",13.115,8.161
369,"E01031152",9.145,8.583
370,"E01019731",10.902,7.346
371,"E01019730",10.57,7.397
372,"E01006888",14.741,8.237
373,"E01006808",21.348,9.206
374,"E01006889",18.303,8.822
375,"E01031159",10.535,9.019
376,"E01033107",8.75,9.226
377,"E01017738",6.693,8.628
378,"E01011899",15.414,9.123
379,"E01003744",20.803,11.401
380,"E01024703",6.645,10.032
381,"E01024606",13.525,11.047
382,"E01024782",17.199,10.352
383,"E01011818",8.08,8.116
384,"E01021037",8.396,8.689
385,"E01021036",10.762,9.192
386,"E01033345",19.574,9.529
387,"E01027049",5.665,8.472
388,"E01033344",20.795,9.7
389,"E01027048",6.368,8.557
390,"E01033347",22.851,10.792
391,"W01000577",1.89,5.122
392,"E01001039",15.39,10.051
393,"E01004243",39.105,15.035
394,"E01028235",10.993,9.067
395,"E01004242",35.281,14.159
396,"E01028232",14.404,9.568
397,"W01000630",6.434,7.875
398,"E01015555",11.131,9.934
399,"E01029508",7.22,7.773
400,"E01029589",13.379,8.756
401,"E01013551",18.104,14.108
402,"W01000572",3.915,5.56
403,"E01023344",10.405,9.506
404,"E01020287",1.823,5.742
405,"E01021035",6.049,8.011
406,"E01015554",15.003,10.675
407,"E01023347",14.714,9.727
408,"E01020206",3.951,6.295
409,"E01003071",23.119,12.728
410,"E01021377",9.32,9.604
411,"E01011482",17.227,9.588
412,"E01006346",20.146,9.213
413,"E01010331",9.185,8.304
414,"E01002113",19.009,11.143
415,"E01029942",4.909,8.386
416,"E01010338",14.857,9.92
417,"E01010333",11.494,8.685
418,"E01015130",3.362,6.148
419,"E01010330",12.952,9.075
420,"E01015131",5.507,6.484
421,"E01010332",12.983,8.99
422,"E01015132",6.199,7.055
423,"E01018349",6.577,6.99
424,"E01015133",5.131,6.7
425,"W01000211",3.135,4.829
426,"E01015135",6.537,6.753
427,"E01015134",5.803,6.971
428,"W01000290",10.329,7.134
429,"E01006347",13.439,8.487
430,"E01006344",12.982,8.52
431,"E01025551",7.116,6.227
432,"E01027911",10.198,8.89
433,"W01000155",4.156,4.99
434,"E01023558",14.079,9.652
435,"E01013868",16.341,9.993
436,"E01014983",11.578,9.254
437,"E01001309",18.504,11.09
438,"E01006961",22.989,11.612
439,"E01010878",14.805,8.835
440,"E01014984",11.388,9.37
441,"E01018021",6.894,8.972
442,"E01008967",12.668,9.182
443,"E01014425",5.683,7.594
444,"E01006960",17.376,9.463
445,"E01023432",8.357,8.826
446,"W01001693",15.802,9.652
447,"E01031985",7.224,7.858
448,"W01001612",14.615,9.737
449,"E01025966",7.322,8.087
450,"E01014548",15.237,9.115
451,"E01014902",13.609,9.154
452,"E01023962",14.066,9.387
453,"E01016536",20.019,10.093
454,"E01008964",14.144,9.465
455,"E01031986",8.609,8.063
456,"W01001615",12.965,9.026
457,"E01031907",8.141,8.246
458,"W01001694",14.299,10.158
459,"E01023965",12.607,9.591
460,"E01027234",15.331,10.446
461,"E01003920",23.978,12.746
462,"E01005241",16.246,9.69
463,"E01031906",11.692,8.623
464,"W01001614",13.375,9.364
465,"E01027235",16.811,11.2
466,"E01003177",23.814,12.915
467,"E01005240",17.192,9.766
468,"E01023964",13.032,9.758
469,"W01001695",19.389,10.063
470,"E01027236",14.288,10.382
471,"E01019519",12.552,9.389
472,"E01005243",18.54,9.723
473,"E01027237",14.447,9.994
474,"E01022136",13.037,9.284
475,"E01005242",17.157,9.576
476,"E01025248",13.341,7.992
477,"E01021884",6.367,8.745
478,"E01019239",2.89,4.525
479,"E01025249",15.655,7.982
480,"E01007350",9.109,8.239
481,"E01005245",16.67,9.557
482,"E01021764",16.786,10.884
483,"E01023248",8.462,8.277
484,"E01019238",6.765,5.371
485,"E01023249",11.111,8.315
486,"E01014078",10.979,8.099
487,"E01005244",19.17,9.614
488,"E01001934",26.18,13.054
489,"E01014549",17.333,9.511
490,"E01023963",13.527,9.611
491,"E01010975",14.738,9.71
492,"E01031904",4.83,7.479
493,"E01016537",25.789,10.652
494,"E01024929",18.409,8.855
495,"E01010974",16.11,9.058
496,"E01024928",13.359,7.833
497,"E01027232",12.204,9.615
498,"E01003249",22.238,12.214
499,"E01010977",14.192,8.128
500,"E01027233",12.935,9.851
501,"E01033459",10.056,9.782
502,"E01028552",9.399,9.249
503,"E01003248",22.507,12.304
504,"E01028553",9.612,9.589
505,"E01010976",13.897,8.953
506,"E01028554",12.499,11.191
507,"E01033458",10.116,9.826
508,"E01028555",11.377,10.292
509,"E01028557",9.87,10.29
510,"E01026551",4.162,8.398
511,"E01028556",9.145,10.99
512,"E01026550",4.589,8.423
513,"E01026916",7.784,8.548
514,"E01026997",6.83,8.513
515,"E01028550",12.106,9.263
516,"E01012566",13.702,8.211
517,"E01027297",6.413,8.294
518,"E01027216",13.349,10.154
519,"E01000652",14.968,9.845
520,"E01025228",6.664,6.44
521,"E01011274",12.557,8.255
522,"E01009222",13.907,9.94
523,"E01011276",11.686,8.276
524,"E01029615",7.839,7.686
525,"E01001957",32.269,14.256
526,"E01011277",13.122,8.333
527,"E01003002",26.664,12.509
528,"E01023228",8.035,7.975
529,"E01021408",6.347,9.053
530,"E01023229",8.021,7.903
531,"E01012196",16.077,7.479
532,"E01010590",7.256,6.852
533,"E01025132",3.892,5.218
534,"E01025229",14.39,8.992
535,"E01011275",11.72,8.256
536,"E01006661",13.838,8.225
537,"E01005275",18.845,9.691
538,"E01025621",9.405,8.814
539,"E01007961",10.021,7.925
540,"E01013008",10.934,8.998
541,"E01021402",11.655,10.01
542,"E01024190",5.73,9.185
543,"E01016528",14.842,9.814
544,"E01031148",7.166,8.307
545,"E01012606",16.59,8.36
546,"E01017221",11.906,9.684
547,"E01033622",33.403,12.058
548,"E01022448",7.169,8.047
549,"E01007062",7.333,6.905
550,"E01002970",17.941,10.668
551,"E01022113",8.17,8.127
552,"W01001602",13.811,8.452
553,"W01000198",4.252,5.652
554,"E01018662",12.237,8.001
555,"E01029229",5.836,7.95
556,"E01001715",23.101,13.127
557,"E01019968",9.157,7.345
558,"E01025008",6.943,6.513
559,"E01018920",2.399,5.668
560,"E01020124",7.134,7.151
561,"E01012571",15.316,8.577
562,"E01000612",19.636,11.583
563,"E01002140",16.907,10.607
564,"E01022031",8.682,9.691
565,"E01004147",16.717,11.344
566,"E01024037",5.687,9.092
567,"E01022030",8.943,9.422
568,"E01002143",16.082,10.821
569,"E01024036",5.979,8.418
570,"E01004146",16.968,11.435
571,"E01022033",7.843,8.398
572,"E01002145",14.969,10.052
573,"W01001571",3.66,6.475
574,"E01002142",17.089,10.475
575,"E01022032",8.275,8.733
576,"E01002144",12.071,9.382
577,"E01022035",8.565,8.423
578,"E01016139",17.01,11.961
579,"E01024035",6.778,8.881
580,"E01018138",10.522,9.439
581,"E01025262",9.27,7.042
582,"E01024034",7.311,9.369
583,"E01002141",15.861,10.496
584,"E01031281",8.125,8.049
585,"E01031203",6.529,7.622
586,"E01031282",10.472,8.311
587,"E01031202",7.376,7.846
588,"E01025265",10.04,7.3
589,"E01026363",6.54,8.621
590,"E01025264",9.79,6.906
591,"E01028366",8.732,9.262
592,"E01031283",8.352,8.162
593,"E01032301",11.064,8.829
594,"E01032380",8.483,7.993
595,"E01032300",9.142,7.977
596,"E01026362",5.966,8.934
597,"E01026365",6.552,8.893
598,"E01032381",8.483,7.993
599,"E01031200",8.648,8.221
600,"E01025263",8.42,6.782
601,"E01004091",13.895,9.578
602,"E01004010",24.366,12.961
603,"E01004092",16.071,9.942
604,"E01004013",24.371,12.884
605,"W01000958",11.886,7.73
606,"E01004093",19.454,10.925
607,"E01026360",5.634,8.646
608,"E01004012",23.104,12.613
609,"E01033073",8.527,6.814
610,"E01004094",16.3,10.004
611,"E01033070",12.758,8.855
612,"E01004015",20.552,11.906
613,"E01033075",12.391,7.155
614,"E01033072",4.638,5.47
615,"E01033077",7.422,6.56
616,"E01033074",6.589,6.374
617,"E01005198",15.635,9.427
618,"E01033076",10.672,7.006
619,"E01004090",16.824,9.898
620,"E01004011",24.371,12.884
621,"E01033071",7.537,7.184
622,"E01033078",5.247,7.24
623,"E01020293",1.813,5.594
624,"E01020212",7.582,7.214
625,"E01012270",7.882,6.538
626,"E01014277",22.785,10.278
627,"E01020294",3.512,6.033
628,"E01020215",6.414,6.951
629,"E01012273",11.748,7.021
630,"E01014276",19.635,9.788
631,"E01015378",9.037,8.381
632,"E01001397",25.494,13.613
633,"E01015379",13.415,9.061
634,"E01007329",8.921,7.92
635,"E01021319",18.331,10.921
636,"E01012271",14.407,7.705
637,"E01001316",18.62,11.164
638,"E01021398",5.724,8.919
639,"E01014274",16.031,9.487
640,"E01022988",5.415,7.67
641,"E01007328",7.108,8.073
642,"E01021318",13.539,10.612
643,"E01016968",21.609,11.563
644,"E01009321",16.206,9.474
645,"E01009320",18.912,10.432
646,"E01021399",6.545,8.913
647,"E01018961",1.896,5.551
648,"E01009323",15.92,10.024
649,"W01000458",3.484,6.284
650,"E01031825",10.353,9.559
651,"E01022909",14.752,10.094
652,"E01009322",15.493,9.75
653,"W01000459",2.479,5.171
654,"E01029012",4.627,6.713
655,"E01022908",13.025,10.156
656,"E01021427",8.393,9.792
657,"E01022989",5.026,7.144
658,"E01024901",19.41,8.835
659,"E01010038",12.313,9.095
660,"E01001884",32.34,14.042
661,"E01018960",2.304,5.527
662,"W01000731",2.958,5.282
663,"E01029702",12.687,8.777
664,"E01022325",7.747,7.992
665,"E01017326",10.613,9.09
666,"E01023841",11.519,9.044
667,"E01001396",21.427,12.654
668,"E01017327",7.739,8.36
669,"E01032544",8.868,6.883
670,"E01001317",18.69,11.247
671,"E01032545",6.504,6.919
672,"E01000239",26.688,12.793
673,"E01016969",21.609,11.563
674,"E01032546",11.155,7.594
675,"E01010956",7.821,6.737
676,"E01000231",22.528,11.545
677,"E01000238",32.441,13.501
678,"E01011335",17.931,9.533
679,"E01008249",7.383,5.822
680,"E01019348",4.344,5.268
681,"E01000230",23.94,12.07
682,"E01011337",16.304,9.753
683,"E01011334",17.521,10.082
684,"E01017349",5.953,7.257
685,"E01011336",15.75,9.647
686,"E01019341",3.328,4.76
687,"E01008453",12.43,6.814
688,"E01017348",5.46,7.108
689,"E01025028",5.36,6.13
690,"E01033490",38.34,13.808
691,"E01032542",14.484,7.056
692,"W01001523",3.8,6.216
693,"E01032543",10.303,6.909
694,"E01007855",22.956,10.239
695,"E01030977",8.522,8.908
696,"E01011268",9.488,7.731
697,"E01030974",8.775,9.229
698,"E01001509",21.118,11.278
699,"E01027783",4.465,7.315
700,"E01030976",8.619,9.573
701,"E01032327",10.574,8.515
702,"E01011332",12.531,9.051
703,"E01006411",13.035,8.198
704,"E01001508",19.744,11.981
705,"E01019349",3.388,4.818
706,"E01001588",21.588,11.721
707,"E01006018",13.595,8.303
708,"E01028301",7.113,8.325
709,"W01000960",11.306,6.734
710,"E01010368",18.149,10.081
711,"E01008010",11.931,8.952
712,"E01032357",12.409,8.552
713,"E01008011",15.161,9.26
714,"E01023284",8.491,8.086
715,"E01007308",9.298,6.66
716,"E01008092",14.03,9.161
717,"E01023205",10.981,9.134
718,"E01007389",10.341,8.128
719,"E01008091",13.994,9.419
720,"E01032351",4.908,7.282
721,"E01026309",12.624,9.592
722,"W01000968",13.657,10.861
723,"E01012354",12.365,7.633
724,"E01007119",11.502,7.245
725,"E01009199",25.61,11.22
726,"E01006098",14.007,8.908
727,"E01007118",9.961,7.346
728,"E01008018",17.166,9.567
729,"E01007198",7.515,6.478
730,"E01009111",10.826,8.417
731,"E01007199",5.865,6.06
732,"E01030839",11.579,9.212
733,"E01026846",13.047,9.949
734,"E01028847",5.108,7.271
735,"E01027156",15.556,10.21
736,"E01026841",13.789,10.085
737,"E01025169",4.636,5.291
738,"E01031188",5.997,7.746
739,"E01025168",6.865,5.816
740,"E01031189",5.305,7.552
741,"E01031109",10.736,9.005
742,"E01002802",27.974,13.243
743,"E01023169",5.305,8.091
744,"E01011749",17.86,9.672
745,"E01031108",10.509,9.037
746,"E01013736",15.566,10.148
747,"E01002883",30.21,14.162
748,"E01002805",26.037,13.551
749,"E01011748",15.019,9.16
750,"E01002804",23.503,13.116
751,"E01002884",29.143,13.847
752,"E01027154",16.201,11.005
753,"E01027155",19.147,10.896
754,"E01013737",18.982,10.569
755,"E01015447",10.471,8.56
756,"E01016984",11.214,9.831
757,"E01013440",7.083,7.918
758,"E01016904",11.233,10.534
759,"E01004953",17.899,9.229
760,"E01016985",12.81,9.99
761,"E01015887",11.346,9.632
762,"E01017862",7.31,8.399
763,"E01013803",7.405,8.419
764,"E01023801",10.135,9.423
765,"E01022876",10.222,8.843
766,"E01022877",11.06,8.752
767,"E01032878",25.496,8.888
768,"E01032879",24.352,8.797
769,"E01015445",10.711,8.5
770,"E01032870",5.681,7.757
771,"E01016902",10.295,9.66
772,"E01004951",13.783,8.427
773,"E01016983",10.912,9.549
774,"E01022480",12.974,9.471
775,"E01032871",5.195,7.58
776,"E01032872",26.336,12.408
777,"E01024404",9.683,9.33
778,"E01003978",31.216,13.16
779,"E01032873",24.369,11.933
780,"E01021453",14.736,10.538
781,"E01021450",9.013,9.594
782,"E01021452",11.008,10.097
783,"E01029469",8.586,8.572
784,"E01013239",9.099,10.107
785,"E01010921",6.683,6.765
786,"E01021539",7.2,9.608
787,"E01018501",10.619,8.104
788,"W01000718",2.89,5.27
789,"E01029468",8.273,8.502
790,"E01021538",7.589,9.431
791,"E01010920",6.694,6.713
792,"E01018580",9.903,7.385
793,"E01021455",13.222,10.185
794,"E01000568",19.476,10.538
795,"E01002556",21.194,11.058
796,"E01018581",8.177,7.34
797,"E01018500",10.218,8.273
798,"E01018503",8.411,7.571
799,"E01018582",9.773,7.594
800,"E01021451",13.332,10.338
801,"E01010928",9.96,8.149
802,"E01000569",19.084,10.95
803,"E01007274",22.897,8.531
804,"E01024417",12.722,9.437
805,"E01022410",4.389,7.215
806,"E01022491",6.091,8.096
807,"E01013998",3.734,6.553
808,"E01005914",23.73,10.133
809,"E01001526",16.236,10.842
810,"E01003911",24.203,12.726
811,"E01026480",3.536,8.429
812,"E01001527",20.241,12.329
813,"E01007578",9.609,8.214
814,"E01024414",9.953,9.487
815,"E01007579",7.225,7.808
816,"E01003948",21.328,12.161
817,"E01013519",8.039,8.799
818,"E01013598",8.795,9.46
819,"E01008292",13.286,7.027
820,"E01013518",11.449,9.403
821,"E01008210",18.153,7.936
822,"E01009571",12.681,10.493
823,"E01008293",16.249,9.445
824,"E01008213",10.886,6.509
825,"E01008294",13.353,7.675
826,"E01008212",12.597,6.818
827,"E01008295",16.421,9.418
828,"E01033154",3.71,7.354
829,"E01025586",4.661,5.983
830,"E01009781",11.69,8.817
831,"E01030225",4.426,8.249
832,"E01007835",9.865,8.326
833,"E01007537",9.582,8.887
834,"E01007534",18,9.957
835,"E01010766",7.736,7.006
836,"E01005549",20.973,9.259
837,"E01031320",15.353,9.188
838,"E01007536",10.676,8.638
839,"E01001426",26.462,13.163
840,"E01003549",24.618,13.473
841,"E01008336",10.951,7.153
842,"E01005548",18.347,9.031
843,"W01000137",2.358,4.493
844,"E01005541",17.889,8.836
845,"E01003548",25.284,13.566
846,"E01021554",10.955,9.92
847,"E01007787",9.001,8.64
848,"E01006313",10.005,7.414
849,"E01016773",9.924,9.823
850,"E01007535",17.718,10.004
851,"E01007532",23.236,10.499
852,"E01022750",11.73,9.025
853,"E01009097",19.502,9.955
854,"E01003009",13.403,9.917
855,"E01016376",13.705,9.897
856,"W01001453",4.214,6.427
857,"E01008920",10.869,8.736
858,"E01014194",8.711,7.541
859,"E01022395",7.358,7.791
860,"E01008520",6.886,6.056
861,"E01022314",9.442,8.633
862,"E01022396",6.813,7.746
863,"W01001452",3.29,6.227
864,"E01023010",10.329,8.144
865,"E01023091",13.746,9.148
866,"E01016377",10.89,9.814
867,"E01025016",4.822,5.929
868,"W01001450",3.227,6.16
869,"E01017075",13.826,12.081
