lsoa11cd,apgroup_num,apgroup_name
E01030158,10730,E01030158
E01032666,10731,E01032666
E01030159,10732,E01030159
E01032667,10733,E01032667
E01004788,10734,E01004788
E01004709,10735,E01004709
E01004789,10736,E01004789
E01004708,10737,E01004708
E01002788,10738,E01002788
E01002709,10739,E01002709
E01013819,10740,E01013819
E01021324,10741,E01021324
E01005498,10742,E01005498
E01020249,10743,E01020249
E01023151,10744,E01023151
E01014601,10745,E01014601
E01019563,10746,E01019563
E01011299,10747,E01011299
E01033604,10748,E01033604
E01032664,10749,E01032664
E01032212,10750,E01032212
E01027615,10751,E01027615
E01009963,10752,E01009963
E01032665,10753,E01032665
E01010721,10754,E01010721
E01015009,10755,E01015009
E01021481,10756,E01021481
E01016179,10757,E01016179
E01004576,10758,E01004576
E01021144,10759,E01021144
E01026706,10760,E01026706
E01033313,10761,E01033313
E01003493,10762,E01003493
E01006981,10763,E01006981
E01014872,10764,E01014872
E01006900,10765,E01006900
E01031785,10766,E01031785
E01012401,10767,E01012401
E01020810,10768,E01020810
E01012480,10769,E01012480
E01020891,10770,E01020891
E01014486,10771,E01014486
E01006462,10772,E01006462
E01012481,10773,E01012481
E01014407,10774,E01014407
E01006465,10775,E01006465
E01012400,10776,E01012400
E01020890,10777,E01020890
E01014873,10778,E01014873
E01014404,10779,E01014404
E01014485,10780,E01014485
E01027654,10781,E01027654
E01027655,10782,E01027655
E01025669,10783,E01025669
E01027657,10784,E01027657
E01025668,10785,E01025668
E01027656,10786,E01027656
E01031609,10787,E01031609
E01031688,10788,E01031688
E01027652,10789,E01027652
E01000718,10790,E01000718
E01027653,10791,E01027653
E01000719,10792,E01000719
E01000711,10793,E01000711
E01000799,10794,E01000799
E01000791,10795,E01000791
E01000790,10796,E01000790
E01000792,10797,E01000792
E01000710,10798,E01000710
E01012832,10799,E01012832
E01021779,10800,E01021779
E01021778,10801,E01021778
E01000798,10802,E01000798
E01023726,10803,E01023726
E01030676,10804,E01030676
E01012834,10805,E01012834
E01012835,10806,E01012835
E01016428,10807,E01016428
E01010849,10808,E01010849
E01010416,10809,E01010416
E01012837,10810,E01012837
E01002477,10811,E01002477
E01002474,10812,E01002474
E01002476,10813,E01002476
E01018421,10814,E01018421
E01005939,10815,E01005939
E01018420,10816,E01018420
E01023727,10817,E01023727
E01012833,10818,E01012833
E01011155,10819,E01011155
E01019168,10820,E01019168
E01025109,10821,E01025109
E01025188,10822,E01025188
E01025189,10823,E01025189
E01010497,10824,E01010497
E01011154,10825,E01011154
E01013635,10826,E01013635
E01002475,10827,E01002475
E01011157,10828,E01011157
E01013632,10829,E01013632
E01025108,10830,E01025108
E01013637,10831,E01013637
E01013634,10832,E01013634
E01013636,10833,E01013636
E01011649,10834,E01011649
E01011641,10835,E01011641
E01011648,10836,E01011648
E01011152,10837,E01011152
E01019169,10838,E01019169
